"Статус","Количество"
"Provisional","1"
"Draft","46"
"Total","269"
"Active","34"
"Accepted","22"
"Final","167"
"Provisional","1"
"Draft","46"
"Total","270"
"Active","34"
"Accepted","22"
"Final","168"
"Provisional","1"
"Draft","46"
"Total","271"
"Active","34"
"Accepted","22"
"Final","169"
"Provisional","1"
"Draft","46"
"Total","272"
"Active","34"
"Accepted","22"
"Final","170"
"Provisional","1"
"Draft","46"
"Total","273"
"Active","34"
"Accepted","22"
"Final","171"
"Provisional","1"
"Draft","46"
"Total","274"
"Active","34"
"Accepted","22"
"Final","172"
"Provisional","1"
"Draft","46"
"Total","275"
"Active","34"
"Accepted","22"
"Final","173"
"Provisional","1"
"Draft","46"
"Total","276"
"Active","34"
"Accepted","22"
"Final","174"
"Provisional","1"
"Draft","46"
"Total","277"
"Active","34"
"Accepted","22"
"Final","175"
"Provisional","1"
"Draft","46"
"Total","278"
"Active","34"
"Accepted","22"
"Final","176"
"Provisional","1"
"Draft","46"
"Total","279"
"Active","34"
"Accepted","22"
"Final","177"
"Provisional","1"
"Draft","46"
"Total","280"
"Active","34"
"Accepted","22"
"Final","178"
"Provisional","1"
"Draft","46"
"Total","281"
"Active","34"
"Accepted","22"
"Final","179"
"Provisional","1"
"Draft","46"
"Total","282"
"Active","34"
"Accepted","22"
"Final","180"
"Provisional","1"
"Draft","46"
"Total","283"
"Active","34"
"Accepted","22"
"Final","181"
"Provisional","1"
"Draft","46"
"Total","284"
"Active","34"
"Accepted","22"
"Final","182"
"Provisional","1"
"Draft","46"
"Total","285"
"Active","34"
"Accepted","22"
"Final","183"
"Provisional","1"
"Draft","46"
"Total","286"
"Active","34"
"Accepted","22"
"Final","184"
"Provisional","1"
"Draft","46"
"Total","287"
"Active","34"
"Accepted","22"
"Final","185"
"Provisional","1"
"Draft","46"
"Total","288"
"Active","34"
"Accepted","22"
"Final","186"
"Provisional","1"
"Draft","46"
"Total","289"
"Active","34"
"Accepted","22"
"Final","187"
"Provisional","1"
"Draft","46"
"Total","290"
"Active","34"
"Accepted","22"
"Final","188"
"Provisional","1"
"Draft","46"
"Total","291"
"Active","34"
"Accepted","22"
"Final","189"
"Provisional","1"
"Draft","46"
"Total","292"
"Active","34"
"Accepted","22"
"Final","190"
"Provisional","1"
"Draft","46"
"Total","293"
"Active","34"
"Accepted","22"
"Final","191"
"Provisional","1"
"Draft","46"
"Total","294"
"Active","34"
"Accepted","22"
"Final","192"
"Provisional","1"
"Draft","46"
"Total","295"
"Active","34"
"Accepted","22"
"Final","193"
"Provisional","1"
"Draft","46"
"Total","296"
"Active","34"
"Accepted","22"
"Final","194"
"Provisional","1"
"Draft","46"
"Total","297"
"Active","34"
"Accepted","22"
"Final","195"
"Provisional","1"
"Draft","46"
"Total","298"
"Active","34"
"Accepted","22"
"Final","196"
"Provisional","1"
"Draft","46"
"Total","299"
"Active","34"
"Accepted","22"
"Final","197"
"Provisional","1"
"Draft","46"
"Total","300"
"Active","34"
"Accepted","22"
"Final","198"
"Provisional","1"
"Draft","46"
"Total","301"
"Active","34"
"Accepted","22"
"Final","199"
"Provisional","1"
"Draft","46"
"Total","302"
"Active","34"
"Accepted","22"
"Final","200"
"Provisional","1"
"Draft","46"
"Total","303"
"Active","34"
"Accepted","22"
"Final","201"
"Provisional","1"
"Draft","46"
"Total","304"
"Active","34"
"Accepted","22"
"Final","202"
"Provisional","1"
"Draft","46"
"Total","305"
"Active","34"
"Accepted","22"
"Final","203"
"Provisional","1"
"Draft","46"
"Total","306"
"Active","34"
"Accepted","22"
"Final","204"
"Provisional","1"
"Draft","46"
"Total","307"
"Active","34"
"Accepted","22"
"Final","205"
"Provisional","1"
"Draft","46"
"Total","308"
"Active","34"
"Accepted","22"
"Final","206"
"Provisional","1"
"Draft","46"
"Total","309"
"Active","34"
"Accepted","22"
"Final","207"
"Provisional","1"
"Draft","46"
"Total","310"
"Active","34"
"Accepted","22"
"Final","208"
"Provisional","1"
"Draft","46"
"Total","311"
"Active","34"
"Accepted","22"
"Final","209"
"Provisional","1"
"Draft","46"
"Total","312"
"Active","34"
"Accepted","22"
"Final","210"
"Provisional","1"
"Draft","46"
"Total","313"
"Active","34"
"Accepted","22"
"Final","211"
"Provisional","1"
"Draft","46"
"Total","314"
"Active","34"
"Accepted","22"
"Final","212"
"Provisional","1"
"Draft","46"
"Total","315"
"Active","34"
"Accepted","22"
"Final","213"
"Provisional","1"
"Draft","46"
"Total","316"
"Active","34"
"Accepted","22"
"Final","214"
"Provisional","1"
"Draft","46"
"Total","317"
"Active","34"
"Accepted","22"
"Final","215"
"Provisional","1"
"Draft","46"
"Total","318"
"Active","34"
"Accepted","22"
"Final","216"
"Provisional","1"
"Draft","46"
"Total","319"
"Active","34"
"Accepted","22"
"Final","217"
"Provisional","1"
"Draft","46"
"Total","320"
"Active","34"
"Accepted","22"
"Final","218"
"Provisional","1"
"Draft","46"
"Total","321"
"Active","34"
"Accepted","22"
"Final","219"
"Provisional","1"
"Draft","46"
"Total","322"
"Active","34"
"Accepted","22"
"Final","220"
"Provisional","1"
"Draft","46"
"Total","323"
"Active","34"
"Accepted","22"
"Final","221"
"Provisional","1"
"Draft","46"
"Total","324"
"Active","34"
"Accepted","22"
"Final","222"
"Provisional","1"
"Draft","46"
"Total","325"
"Active","34"
"Accepted","22"
"Final","223"
"Provisional","1"
"Draft","46"
"Total","326"
"Active","34"
"Accepted","22"
"Final","224"
"Provisional","1"
"Draft","46"
"Total","327"
"Active","34"
"Accepted","22"
"Final","225"
"Provisional","1"
"Draft","46"
"Total","328"
"Active","34"
"Accepted","22"
"Final","226"
"Provisional","1"
"Draft","46"
"Total","329"
"Active","34"
"Accepted","22"
"Final","227"
"Provisional","1"
"Draft","46"
"Total","330"
"Active","34"
"Accepted","22"
"Final","228"
"Provisional","1"
"Draft","46"
